Name,Nat,Club,Position,Age,Height,Preferred_ Foot,Apps,Starts,Mins,Gls,Ast,Wage,Transfer_Value,Pens,Pens_S,Pas_A,Pas_%,Pr_Passes,Pres_A,Pres_C,Blk,Shts_Blckd,Clear,Hdrs,Itc,Tck_A,Tck_W,Off,Gl_Mst,K_Tck,Distance,Drb,Cr_A,Cr_C%,Shots,Shts_on_target,K_Pas,Yel,Red,xG,xA
Bálint Szamosi,HUN,Burnley,M/AM (L),19,"6'2""",Right,0 (3),-,64,0,0,"£7,250 p/w",£6.6M - £8M,0,0,37,92%,1,8,4,0,0,0,7,5,3,2,0,0,0,9.7km,3,5,0%,1,1,1,0,0,0.07,0.1
Kalum Kriskinans,ENG,Burnley,M/AM (C),20,"5'7""",Either,0 (2),-,36,0,0,"£6,000 p/w",£11M - £13M,0,0,17,88%,3,10,4,0,0,0,0,1,2,2,0,0,0,6.5km,0,0,0%,0,-,0,0,0,0,0
Shea Cunningham,ENG,Burnley,"AM (LC), ST (C)",22,"5'10""",Left,-,-,-,-,-,"£3,300 p/w",£130K - £1.3M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thimothée Lo-Tutala,FRA,Cardiff,GK,29,"6'1""",Right,48,48,4320,0,1,"£17,000 p/w",£275K - £2.7M,0,0,"1,281",34%,115,0,0,-,-,-,-,29,9,3,0,5,1,214.9km,0,-,-,0,-,2,0,0,0,1.32
Luke Chambers,ENG,Cardiff,"D (LC), WB/M/AM (L)",27,"5'10""",Left Only,44 (2),44,3851,1,5,"£15,750 p/w",£170K - £1.7M,0,0,"1,720",63%,153,388,151,44,26,139,98,181,134,111,2,3,23,506.6km,22,51,7%,6,2,14,7,0,0.17,1.66
Lewis Bate,ENG,Cardiff,"DM, M/AM (C)",29,"5'6""",Left,43 (2),43,3513,1,7,"£17,250 p/w",£250K - £2.5M,0,0,"1,733",79%,192,761,272,25,15,28,63,121,169,110,2,0,4,512.8km,42,170,5%,34,12,67,6,0,1.41,4.32
Callum Wright,ENG,Cardiff,"DM, M/AM (RLC)",32,"5'11""",Right,42 (3),42,3192,2,3,"£21,500 p/w",Not for Sale,0,0,"1,205",74%,121,764,253,22,3,20,117,77,138,102,5,0,1,467.9km,71,50,10%,44,14,29,3,0,3.03,3.27
Iván Morales,CHI,Cardiff,"AM (RLC), ST (C)",32,"6'0""",Right,41 (4),41,3522,24,4,"£21,000 p/w",Not for Sale,6,6,967,80%,18,453,149,12,3,21,301,43,63,45,68,0,0,477.4km,39,54,9%,99,54,30,10,0,17.95,4.19
Ben Cabango,WAL,Cardiff,D (C),31,"6'3""",Right Only,39 (1),39,3361,0,0,"£16,500 p/w",Not for Sale,0,0,"1,812",56%,178,209,103,39,32,102,409,113,73,54,0,1,23,408.6km,3,3,33%,12,5,13,8,1,0.75,0.36
Marcus Holmgren Pedersen,NOR,Cardiff,"D/WB (RL), M/AM (R)",31,"6'0""",Right Only,36 (1),36,2916,0,2,"£21,000 p/w",Not for Sale,0,0,"1,224",79%,138,345,138,29,13,54,132,177,131,96,2,2,10,442.9km,52,97,8%,10,3,23,14,0,0.43,1.94
Mark Grayson,ENG,Cardiff,M/AM (R),23,"5'10""",Right,32,32,2589,1,6,"£13,750 p/w",£6.4M - £7.8M,0,0,779,74%,87,482,139,15,3,36,34,56,103,79,5,1,0,386.8km,82,179,12%,20,5,35,5,0,1.65,4.96
Scott Owen,WAL,Cardiff,"DM, M (C)",23,"5'6""",Left,30 (6),30,2449,1,4,"£8,500 p/w",£8.2M - £13M,0,0,"1,086",79%,137,460,155,17,9,8,52,65,96,66,1,0,2,352.2km,33,25,16%,15,7,29,3,0,1.03,2.48
Gari Williams,WAL,Cardiff,M/AM (RC),21,"6'0""",Right,24 (18),24,2234,1,2,"£7,750 p/w",£5.2M - £6M,0,0,846,71%,75,432,140,13,6,42,147,73,86,64,5,0,1,336.5km,47,93,13%,26,12,21,11,1,2.07,1.55
Tony Franks,ENG,Cardiff,"AM (RC), ST (C)",24,"6'2""",Right,22 (18),22,2120,11,2,"£15,000 p/w",£4.8M - £7M,0,0,648,71%,26,327,107,8,1,8,185,28,77,57,26,0,0,302.3km,64,40,7%,53,26,35,2,0,7.06,3.49
Adam Jones,WAL,Cardiff,D (RLC),23,"6'3""",Right,18 (12),18,1773,1,0,"£8,500 p/w",£230K - £2.3M,0,0,969,60%,72,114,39,27,24,59,181,70,44,31,0,0,13,223.6km,2,7,42%,3,2,5,5,0,0.06,0.37
Leif Davis,ENG,Cardiff,"D (LC), WB (L)",32,"5'10""",Left,18 (6),18,1512,0,3,"£19,500 p/w",£95K - £950K,0,0,724,76%,59,203,76,16,8,30,91,76,53,36,1,1,4,228.3km,22,53,20%,2,0,13,6,0,0.02,1.59
Josh Coburn,ENG,Cardiff,ST (C),29,"6'3""",Right,18 (5),18,1334,4,0,"£33,500 p/w",£8.4M - £14M,0,0,438,71%,14,193,59,2,1,4,184,18,41,30,25,0,0,181.4km,13,14,14%,35,14,14,1,0,3.39,0.94
Brandon Santander,COL,Cardiff,"AM (RL), ST (C)",23,"5'9""",Left,17 (18),17,1658,8,3,"£20,500 p/w",£5.2M - £6.4M,0,0,419,83%,23,320,87,8,1,9,27,25,50,28,26,0,1,238.2km,31,39,15%,33,12,18,5,0,5.99,2.71
Nico Ammerman,GER,Cardiff,D (RLC),24,"5'10""",Right,17 (3),17,1543,0,1,"£9,000 p/w",£250K - £2.6M,0,0,583,74%,53,154,59,12,6,52,71,72,50,32,1,2,5,223.2km,9,38,13%,6,1,5,4,0,0.32,0.52
Everton Cebolinha,BRA,Cardiff,"M (L), AM (RLC), ST (C)",36,"5'9""",Right,11 (34),11,1657,5,2,"£13,750 p/w",£0 - £80K,0,0,563,77%,64,357,109,19,7,6,42,45,70,53,5,0,0,254.3km,29,143,7%,28,16,33,3,1,1.93,2.41
Conor Coventry,IRL,Cardiff,"DM, M (C)",32,"5'10""",Right,11 (21),11,1378,1,1,"£18,000 p/w",£110K - £1.1M,0,0,582,82%,45,254,97,8,7,32,34,35,63,46,0,0,1,202.1km,7,7,25%,10,3,13,3,0,0.49,0.81
Luke Russell,WAL,Cardiff,"D (LC), WB (L)",23,"5'9""",Left Only,11 (11),11,1157,0,0,"£15,750 p/w",£190K - £1.9M,0,0,509,65%,48,121,53,15,7,34,26,51,40,28,1,0,1,164.1km,10,28,21%,1,0,7,1,0,0.01,0.8
Nathan Wood,ENG,Cardiff,D (RC),29,"6'2""",Right,8 (19),8,1022,0,1,"£16,750 p/w",£2M,0,0,572,57%,43,88,38,23,17,22,123,33,26,20,2,1,5,142.1km,3,7,28%,6,2,4,6,0,0.39,0.48
Alan Harrison,WAL,Cardiff,D/WB/M/AM (L),23,"5'10""",Left,8 (9),8,813,0,0,"£11,000 p/w",£120K - £1.2M,0,0,306,64%,34,107,31,10,1,18,17,38,38,28,0,0,3,124.8km,11,29,7%,2,0,2,2,0,0.03,0.46
Ellis Hill,WAL,Cardiff,GK,22,"6'2""",Right,1,1,90,0,0,"£2,500 p/w",£400K - £1.2M,0,0,19,37%,2,0,0,-,-,-,-,0,0,-,0,0,0,3.8km,0,-,-,0,-,0,0,0,0,0
Ceri Jones,WAL,Cardiff,"M (RL), AM (RLC)",20,"5'7""",Left,0 (7),-,149,0,1,"£3,500 p/w",£3.1M - £5.8M,0,0,37,68%,6,24,9,2,1,1,1,6,9,7,0,0,0,23.6km,2,6,0%,1,1,2,0,0,0.17,0.22
Karl Devine,ENG,Cardiff,"D (RLC), M (C)",24,"6'2""",Left,0 (4),-,43,0,0,"£6,250 p/w",£50K,0,0,39,82%,2,9,4,0,0,1,7,1,1,0,0,0,0,7.9km,2,0,0%,1,0,0,0,0,0.06,0
Reyes Cleary,ENG,Cardiff,"AM (RC), ST (C)",28,"5'7""",Right,0 (1),-,40,0,0,"£13,500 p/w",£3.4M - £6.6M,0,0,8,100%,0,2,1,0,0,0,0,1,2,2,1,0,0,6.0km,0,2,0%,1,0,0,0,0,0.34,0
Neil Brown,WAL,Cardiff,"M (L), AM (RL), ST (C)",22,"6'1""",Right,-,-,-,-,-,£750 p/w,£0 - £16K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jack Ellis,WAL,Cardiff,D (RL),22,"6'0""",Left,-,-,-,-,-,"£1,300 p/w",£18K - £190K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyle Houghton,IRL,Cardiff,D (RC),22,"6'2""",Right,-,-,-,-,-,£525 p/w,£12K - £130K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mike Jones,WAL,Cardiff,"M/AM (C), ST (C)",22,"6'0""",Right,-,-,-,-,-,£450 p/w,£0 - £9K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gareth Swattridge,WAL,Cardiff,"AM (LC), ST (C)",22,"6'0""",Either,-,-,-,-,-,"£2,000 p/w",£55K - £550K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ed Parfitt,WAL,Cardiff,GK,22,"6'2""",Right,-,-,-,-,-,"£1,400 p/w",£60K - £600K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peter Davies,WAL,Cardiff,"AM (R), ST (C)",23,"5'9""",Right,-,-,-,-,-,"£1,200 p/w",£9K - £26K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ethan Evans,WAL,Cardiff,"D (LC), WB (L)",23,"5'7""",Left,-,-,-,-,-,"£3,100 p/w",£850K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Owen Murphy,WAL,Cardiff,"DM, M (C), AM (RC)",23,"5'8""",Right,-,-,-,-,-,"£1,000 p/w",£3K - £9K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harvey Cartwright,ENG,Cardiff,GK,30,"6'4""",Right,-,-,-,-,-,"£2,500 p/w",£10K - £100K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jaylan Harrad,ENG,Coventry,GK,23,"6'0""",Right,46,46,4140,0,0,"£13,500 p/w",£2.4M - £5M,0,0,"1,426",83%,38,0,0,-,-,-,-,15,1,0,0,6,0,284.5km,0,-,-,0,-,1,0,0,0,0.01
Jack Vale,WAL,Coventry,"AM (RLC), ST (C)",31,"6'1""",Right,45 (2),45,3596,9,6,"£26,500 p/w",Not for Sale,0,0,"1,364",82%,49,488,127,16,3,16,173,41,79,59,23,0,0,508.8km,59,13,30%,70,35,44,1,0,11.2,4.37
Cameron Bragg,ENG,Coventry,M (C),26,"5'11""",Right,43 (4),43,3708,3,3,"£14,250 p/w",£7.8M - £12M,0,0,"2,603",89%,146,603,196,18,3,23,109,59,132,100,2,1,2,526.7km,55,25,28%,47,17,43,3,0,4.12,4.32
Eiran Cashin,IRL,Coventry,D (C),30,"5'11""",Left,42 (1),42,3584,0,0,"£16,250 p/w",£1.2M - £2.5M,0,0,"3,355",92%,255,125,61,35,25,50,239,108,45,35,0,0,8,422.9km,3,2,50%,5,3,10,6,0,0.24,0.69
Lewis Koumas,WAL,Coventry,"M (C), AM (RLC), ST (C)",26,"5'10""",Right,41 (7),41,3606,7,7,"£9,250 p/w",£475K - £7.8M,0,0,"2,126",85%,129,705,221,22,4,35,45,75,137,113,14,1,0,519.9km,93,56,21%,42,24,52,1,0,5.55,5.4
Scott Twine,ENG,Coventry,"AM (RLC), ST (C)",32,"5'9""",Right,38 (4),38,3142,12,9,"£21,500 p/w",Not for Sale,2,2,"1,448",78%,67,671,197,24,1,19,46,71,119,79,29,0,0,453.7km,90,275,23%,105,44,107,0,0,9.64,9.87
Tom Burton,ENG,Coventry,D (RC),22,"6'0""",Right,37 (4),37,3281,3,3,N/A,£3.9M - £5.6M,0,0,"2,651",87%,147,247,99,29,17,77,218,97,60,45,0,0,6,440.8km,31,38,13%,15,5,16,2,0,1.19,3.79
Lasse Sørensen,DEN,Coventry,"DM, M (C)",32,"6'1""",Right,35 (15),35,3086,7,2,"£9,250 p/w",£275K - £2.8M,0,0,"1,932",85%,125,439,124,19,12,31,107,44,88,62,1,0,2,436.9km,28,19,10%,41,12,24,2,0,4.91,2.91
Hector Kyprianou,CYP,Coventry,"D (C), DM, M (C)",30,"6'3""",Right,33 (8),33,2708,3,1,"£11,500 p/w",£500K - £9.2M,0,0,"2,121",92%,137,274,90,22,16,32,157,40,62,46,1,0,7,371.2km,9,3,33%,23,9,18,4,0,1.86,0.62
Daniel Williams,WAL,Coventry,D/WB/M/AM (R),21,"5'7""",Left,32 (7),32,2812,5,4,N/A,£10M - £15.5M,1,1,"1,259",81%,77,558,162,22,4,18,32,45,75,63,21,0,1,404.4km,118,89,22%,49,14,39,3,0,6.38,4.34
Tom Weston,ENG,Coventry,D (R),22,"5'7""",Right,32 (6),32,2784,0,5,"£8,750 p/w",£17.5M - £25M,0,0,"1,839",89%,134,362,137,19,10,49,60,111,105,83,4,3,5,420.8km,64,129,14%,15,5,33,7,0,0.83,2.98
Brad Fellows,ENG,Coventry,D (RLC),23,"6'3""",Left,29 (11),29,2715,0,0,"£4,100 p/w",£160K - £1.6M,0,0,"2,712",89%,98,122,40,25,16,59,300,92,32,18,1,0,9,326.9km,5,3,66%,17,5,2,3,0,0.72,0.12
Keon Forte,ENG,Coventry,D (RL),20,"6'0""",Right,29 (2),29,2482,0,3,N/A,£80K - £800K,0,0,"1,901",84%,139,345,120,24,10,76,128,81,94,76,1,1,6,349.7km,73,35,5%,7,2,18,9,0,0.37,1.63
Khalon Haysman,ENG,Coventry,"DM, M (C)",28,"6'2""",Left,23 (24),23,2217,2,1,"£3,900 p/w",£150K - £4.9M,0,0,"1,693",88%,107,347,113,15,7,18,139,28,81,61,1,0,1,314.1km,28,19,15%,45,18,29,8,0,2.4,2.28
Joel Bagan,IRL,Coventry,D/WB (L),30,"6'0""",Left Only,22 (17),22,1997,0,0,"£12,500 p/w",£140K - £1.4M,0,0,"1,609",89%,141,291,108,28,9,37,76,81,73,60,4,1,2,298.8km,42,40,15%,10,7,16,5,0,0.4,0.93
Michael Craig,SCO,Coventry,"D (R), DM, M (C)",29,"5'10""",Right,10 (35),10,1342,1,4,"£9,250 p/w",£275K - £5.8M,0,0,"1,008",87%,71,195,76,5,2,17,32,29,48,35,0,0,4,205.7km,14,29,15%,16,7,25,1,0,0.87,1.56
Callum Fitzpatrick,ENG,Coventry,"D (C), DM",21,"6'3""",Right,9 (6),9,841,0,0,"£1,500 p/w",£4.7M - £6.8M,0,0,707,81%,41,33,12,3,2,39,65,19,4,4,1,1,0,102.4km,0,0,0%,5,0,1,1,0,0.3,0.04
Jordon Timons,ENG,Coventry,"AM (R), ST (C)",23,"6'0""",Right,8 (23),8,1013,7,0,"£9,000 p/w",£90K - £900K,0,0,456,84%,20,168,53,4,0,9,46,15,36,27,18,0,0,147.2km,41,33,15%,30,9,20,1,0,4.48,1.41
Saidu Turay,NED,Coventry,"D/WB/M (L), AM (LC), ST (C)",24,"5'9""",Left,5 (14),5,702,1,1,"£7,000 p/w",£1.1M,0,0,375,82%,13,127,38,6,0,1,7,15,21,15,2,0,0,98.6km,14,13,42%,11,4,16,0,1,1.22,1.35
Jacob Dennis,WAL,Coventry,GK,26,"5'11""",Right,3,3,270,0,0,"£1,800 p/w",£16K - £170K,0,0,105,89%,2,0,0,-,-,-,-,5,0,-,0,0,0,18.6km,0,-,-,0,-,2,0,0,0,0
Murray Johnson,SCO,Coventry,GK,27,"6'2""",Right,3,3,270,0,0,"£2,400 p/w",£190K - £550K,0,0,87,79%,2,0,0,-,-,-,-,1,0,-,0,0,0,18.3km,0,-,-,0,-,1,0,0,0,0.11
Liam Thompson,ENG,Coventry,"DM, M (C)",30,"5'4""",Right,1 (6),1,203,0,0,"£3,800 p/w",£40K - £400K,0,0,148,85%,15,19,7,0,0,1,3,6,1,1,0,0,0,32.0km,2,9,50%,3,1,6,1,0,0.36,0.16
Callum Perry,ENG,Coventry,D (C),25,"6'2""",Right,1,1,90,0,0,"£2,300 p/w",£5K,0,0,62,69%,2,2,1,0,0,1,11,3,1,1,0,0,0,11.8km,0,0,0%,0,-,0,1,0,0,0
Diquan Hinkson,ENG,Coventry,"AM (RLC), ST (C)",24,"5'10""",Left,0 (9),-,148,0,0,"£2,500 p/w",£275K,0,0,57,91%,1,28,10,0,0,2,2,3,2,2,1,0,0,23.6km,5,4,25%,4,2,2,0,0,0.23,0.1
Dylan Chambers,ENG,Coventry,M/AM (L),22,"5'9""",Right,0 (4),-,72,1,0,"£2,900 p/w",£250K - £5.6M,0,0,33,88%,2,7,0,1,0,2,2,0,0,-,2,0,0,11.0km,1,5,0%,3,2,0,0,0,0.61,0
Graham Dodds,ENG,Coventry,"AM (R), ST (C)",24,"5'11""",Right,0 (3),-,38,0,0,"£4,800 p/w",£1.7M,0,0,13,85%,0,6,1,0,0,0,0,0,1,0,1,0,0,6.5km,1,0,0%,2,0,0,0,0,0.28,0
Matthew Goulding,ENG,Coventry,D (C),25,"6'3""",Right,0 (2),-,32,0,0,"£2,000 p/w",£150K,0,0,39,74%,2,2,0,0,0,2,2,0,1,1,0,0,0,4.6km,1,0,0%,0,-,0,0,0,0,0
Joshua Kadzidlo,ENG,Coventry,"M (RC), AM (R)",22,"5'10""",Right,-,-,-,-,-,£825 p/w,£0 - £1K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elliot Chamberlain,WAL,Coventry,D (RLC),22,"5'9""",Left,-,-,-,-,-,£325 p/w,£0 - £16K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Leighton Powell,THA,Coventry,M/AM (C),22,"5'7""",Right,-,-,-,-,-,"£1,000 p/w",£0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oliver Wright,ENG,Coventry,GK,29,"6'1""",Right,-,-,-,-,-,"£1,000 p/w",£0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lewis Rose,AUS,Crystal Palace,GK,24,"6'3""",Right,44,44,3960,0,0,"£12,000 p/w",£250K - £2.5M,0,0,"1,124",42%,84,0,0,-,-,-,-,25,9,1,0,3,0,208.8km,0,-,-,0,-,1,0,0,0,0.13
Cole Palmer,ENG,Crystal Palace,"M (C), AM (RLC), ST (C)",30,"6'0""",Left,42 (1),42,3402,16,6,"£53,000 p/w",£12M - £19.5M,5,4,"1,576",79%,90,661,200,8,1,11,235,78,117,82,11,0,1,496.5km,55,87,24%,132,50,67,1,0,13.43,5.67
Destiny Ogbonna,ENG,Crystal Palace,"D (RL), WB/M (R)",24,"5'7""",Either,42,42,3628,1,9,"£38,000 p/w",£10.5M - £13M,0,0,"1,777",84%,200,520,180,25,14,45,81,180,123,94,11,0,1,576.4km,148,338,11%,11,3,69,13,0,0.59,8.04
Jens Blümlein,GER,Crystal Palace,"D (L), M (C)",19,"5'10""",Left,32,32,2772,0,5,"£6,500 p/w",£27M - £35M,0,0,"1,639",87%,189,373,142,31,10,45,98,124,104,85,3,2,4,427.9km,39,135,14%,13,0,28,3,0,0.39,3.9
Matheus França,BRA,Crystal Palace,"M (C), AM (RLC), ST (C)",28,"6'0""",Right,31 (11),31,2763,4,2,"£42,500 p/w",£8.8M - £11.5M,0,0,"1,272",82%,85,550,162,13,4,15,175,40,87,72,9,0,2,407.5km,35,31,32%,70,22,34,0,0,6.7,2.22
Brian Brogan,ENG,Crystal Palace,"M/AM (C), ST (C)",21,"5'11""",Either,30 (15),30,2639,14,2,"£30,500 p/w",£19.5M - £25M,0,0,"1,083",80%,61,312,104,6,1,8,170,37,45,30,22,2,0,380.7km,27,17,11%,92,34,32,2,0,12.4,1.58
Oluwasegun Osayande,ENG,Crystal Palace,"D (C), DM, M/AM (C)",21,"5'10""",Left,27 (13),27,2613,1,1,"£12,500 p/w",£25M - £32M,0,0,"1,762",85%,141,157,71,15,12,29,93,134,40,33,0,1,4,346.4km,7,4,0%,6,2,7,3,0,0.29,0.74
Dillon Hamzat-Whitely,ENG,Crystal Palace,M/AM (C),20,"5'10""",Either,26 (7),26,2222,8,2,"£16,500 p/w",£15.5M - £20M,0,0,"1,256",80%,82,437,161,16,8,10,22,39,66,50,3,0,2,330.2km,25,51,11%,34,14,44,1,0,4.48,2.71
Mauro Bandeira,POR,Crystal Palace,"DM, M/AM (C)",28,"5'9""",Right,24 (13),24,2179,2,3,"£29,000 p/w",£5.2M - £8.6M,0,0,"1,474",88%,139,351,130,9,2,10,54,42,58,37,2,0,0,330.0km,9,108,26%,31,9,53,3,0,1.34,2.82
Eric Martel,GER,Crystal Palace,"D (C), DM, M (C)",30,"6'2""",Right,23 (8),23,1905,1,0,"£34,000 p/w",£7.6M - £10M,0,0,"1,403",88%,78,245,87,20,13,29,129,40,55,31,0,1,3,281.3km,5,6,33%,14,2,15,8,0,0.64,0.71
